id,name,location,type,typecode,address,adcode,pname,cityname,adname,business_area
BV11032010,恒惠路(公交站),"116.455868,39.905942",交通设施服务;公交车站;公交车站相关,150700,804路;806路;807大方居通勤班车;807路;快速直达专线20路;快速直达专线5路;快速直达专线61路;快速直达专线9路,110105,北京市,北京市,朝阳区,建国门
BV10001170,大北窑西(公交站),"116.454957,39.908496",交通设施服务;公交车站;公交车站相关,150700,(停运)高铁专线1路;1路;1路区间(公主坟);28路;58路;668路;804路;806路;807路;9路;夜1路;快速直达专线5路,110105,北京市,北京市,朝阳区,国贸
BV11494316,通惠河北路(公交站),"116.459763,39.904423",交通设施服务;公交车站;公交车站相关,150700,快速直达专线5路,110105,北京市,北京市,朝阳区,建外大街
BV09344555,国贸地铁站(公交站),"116.459242,39.908658",交通设施服务;公交车站;公交车站相关,150700,CBD免费商务班车一号线早班,110105,北京市,北京市,朝阳区,国贸
BV11494433,庆丰公园(公交站),"116.461385,39.903086",交通设施服务;公交车站;公交车站相关,150700,805路快;938路快车,110105,北京市,北京市,朝阳区,双井
BV10001299,大北窑南(公交站),"116.461982,39.904896",交通设施服务;公交车站;公交车站相关,150700,(停运)高铁专线1号线;113路;28路;348路;368路内环;368路外环;402路;561路;57路;669路;687路;687路快车;72路;804路;805路快;806路;807大方居通勤班车;807路;814路;818路;848路;938路快区间;938路快车;98路;专10路;夜30路内;夜30路外;夜间农业展览馆线(夜航2线);首都机场巴士北京南站线,110105,北京市,北京市,朝阳区,国贸
BV09177230,国贸(公交站),"116.462235,39.906471",交通设施服务;公交车站;公交车站相关,150700,(停运)国贸公交站至慕田峪长城旅游专线,110105,北京市,北京市,朝阳区,建外大街
BV10001176,永安里路口西(公交站),"116.446680,39.908420",交通设施服务;公交车站;公交车站相关,150700,120路;126路;140路;1路;1路区间(公主坟);39路;58路;668路;9路;夜1路;夜24路,110105,北京市,北京市,朝阳区,建外大街
BV10006853,永安里路口北(公交站),"116.450352,39.911380",交通设施服务;公交车站;公交车站相关,150700,120路;126路;140路;28路;39路;403路;639路;夜24路,110105,北京市,北京市,朝阳区,建外大街
BV09080469,国贸三期(公交站),"116.457733,39.912193",交通设施服务;公交车站;公交车站相关,150700,CBD免费商务班车一号线早班;CBD免费商务班车一号线晚班,110105,北京市,北京市,朝阳区,国贸
BV10006275,大北窑北(公交站),"116.462140,39.911233",交通设施服务;公交车站;公交车站相关,150700,(停运)高铁专线1号线;113路;368路内环;368路外环;402路;405路;488路;650路;687路;687路快车;98路;夜30路外,110105,北京市,北京市,朝阳区,建外大街
BV10001120,大北窑东(公交站),"116.464883,39.908598",交通设施服务;公交车站;公交车站相关,150700,11路;1路;1路区间(公主坟);382路;388路;388路快车;405路;57路;666路;667路;668路;668路区间快车;804路;806路;807大方居通勤班车;807路;809路;809路华龙班车;夜1路;夜27路;快速直达专线20路;快速直达专线5路;快速直达专线61路;快速直达专线9路,110105,北京市,北京市,朝阳区,大望路
BV10424743,天力街西口(公交站),"116.451940,39.897426",交通设施服务;公交车站;公交车站相关,150700,专165路;专87路,110105,北京市,北京市,朝阳区,广渠门
BV09141959,国贸中心(公交站),"116.460533,39.911855",交通设施服务;公交车站;公交车站相关,150700,CBD免费商务班车商圈线,110105,北京市,北京市,朝阳区,建外大街
BV11472778,天力街(公交站),"116.457490,39.897296",交通设施服务;公交车站;公交车站相关,150700,专87路,110105,北京市,北京市,朝阳区,广渠门
BV10006296,双花园(公交站),"116.461765,39.898031",交通设施服务;公交车站;公交车站相关,150700,28路;348路;561路;57路;669路;72路;专10路;夜30路内;夜30路外,110105,北京市,北京市,朝阳区,双井
BV11472776,天力街东口(公交站),"116.459438,39.897279",交通设施服务;公交车站;公交车站相关,150700,专87路,110105,北京市,北京市,朝阳区,广渠门
BV09080467,汉威大厦(公交站),"116.455168,39.913367",交通设施服务;公交车站;公交车站相关,150700,CBD免费商务班车十号线早班;CBD免费商务班车十号线晚班;CBD免费商务班车商圈线,110105,北京市,北京市,朝阳区,国贸
BV11494442,光华路口东(公交站),"116.451983,39.913429",交通设施服务;公交车站;公交车站相关,150700,140路;639路,110105,北京市,北京市,朝阳区,国贸
BV10424747,双花园西里(公交站),"116.449900,39.897309",交通设施服务;公交车站;公交车站相关,150700,专165路,110105,北京市,北京市,朝阳区,广渠门
BV10012146,光华桥西(公交站),"116.459528,39.913391",交通设施服务;公交车站;公交车站相关,150700,140路;639路,110105,北京市,北京市,朝阳区,建外大街
BV10006237,光华桥南(公交站),"116.462159,39.912601",交通设施服务;公交车站;公交车站相关,150700,405路;488路;650路;687路;687路快车;9路;夜30路内;夜30路外,110105,北京市,北京市,朝阳区,国贸
BV10000194,双井桥北(公交站),"116.461599,39.896531",交通设施服务;公交车站;公交车站相关,150700,(停运)高铁专线1号线;28路;300路内环;300路外环;300路快内;300路快外;348路;368路内环;368路外环;402路;57路;669路;687路;72路;98路;专10路;专87路;夜30路内;夜30路外;夜间农业展览馆线(夜航2线);大兴机场朝阳站线;首都机场巴士北京南站线;首都机场至大兴机场专线,110105,北京市,北京市,朝阳区,双井
BV11471341,广和里中街(公交站),"116.450279,39.896294",交通设施服务;公交车站;公交车站相关,150700,专165路;专87路,110105,北京市,北京市,朝阳区,广渠门
BV10001388,郎家园(公交站),"116.467661,39.908147",交通设施服务;公交车站;公交车站相关,150700,11路;1路;1路区间(公主坟);382路;388路;388路快车;405路;57路;58路;666路;667路;804路;814路;815路快;817路;818路;818路(金桐西路);823路;930路;夜1路;夜27路;大兴机场朝阳站线;快速直达专线20路;快速直达专线5路;快速直达专线61路,110105,北京市,北京市,朝阳区,建外大街
BV10006588,芳草地南(公交站),"116.450393,39.914291",交通设施服务;公交车站;公交车站相关,150700,120路;126路;28路;39路;403路;夜24路,110105,北京市,北京市,朝阳区,[]
BV10424758,惠力路南口(公交站),"116.455903,39.895091",交通设施服务;公交车站;公交车站相关,150700,专165路;专87路,110105,北京市,北京市,朝阳区,广渠门
BV10006307,百子湾南二路西口(公交站),"116.463302,39.897286",交通设施服务;公交车站;公交车站相关,150700,561路,110105,北京市,北京市,朝阳区,双井
BV10001177,日坛路(公交站),"116.441894,39.908583",交通设施服务;公交车站;公交车站相关,150700,120路;126路;140路;1路;1路区间(公主坟);39路;403路;58路;639路;9路;夜1路;夜24路,110105,北京市,北京市,朝阳区,建外大街
BV09141957,富力广场(公交站),"116.461198,39.895573",交通设施服务;公交车站;公交车站相关,150700,CBD免费商务班车商圈线,110105,北京市,北京市,朝阳区,双井
BV10424754,黄木厂路北口(公交站),"116.467201,39.899681",交通设施服务;公交车站;公交车站相关,150700,专165路,110105,北京市,北京市,朝阳区,双井
BV09313998,三星大厦(公交站),"116.465393,39.912158",交通设施服务;公交车站;公交车站相关,150700,CBD免费商务班车核心区早班;CBD免费商务班车核心区晚班,110105,北京市,北京市,朝阳区,大望路
BV10006810,垂杨柳(公交站),"116.453888,39.893643",交通设施服务;公交车站;公交车站相关,150700,(停运)312-23路联运;23路;312路;312路区间;312路快车;57路;637路;夜29路;夜7路,110105,北京市,北京市,朝阳区,广渠门
BV10006276,光华桥北(公交站),"116.462051,39.915173",交通设施服务;公交车站;公交车站相关,150700,113路;140路;405路;488路;650路;687路;98路;夜30路外;夜34路,110105,北京市,北京市,朝阳区,呼家楼
BV10006310,双井桥西(公交站),"116.458207,39.893416",交通设施服务;公交车站;公交车站相关,150700,(停运)312-23路联运;(停运)高铁专线3号线;23路;312路;312路区间;312路快车;637路;专165路;专87路;夜29路;夜7路,110105,北京市,北京市,朝阳区,广渠门
BV10006809,马圈(公交站),"116.448986,39.893711",交通设施服务;公交车站;公交车站相关,150700,(停运)312-23路联运;(停运)高铁专线3号线;23路;312路;312路区间;312路快车;57路;637路;专87路;夜29路;夜7路;夜间农业展览馆线(夜航2线),110101,北京市,北京市,东城区,广渠门
BV09313997,正大中心(公交站),"116.467753,39.911744",交通设施服务;公交车站;公交车站相关,150700,CBD免费商务班车核心区早班;CBD免费商务班车核心区晚班,110105,北京市,北京市,朝阳区,大望路
BV11342679,世贸天阶(公交站),"116.450371,39.916550",交通设施服务;公交车站;公交车站相关,150700,CBD免费商务班车一号线早班;CBD免费商务班车一号线晚班;CBD免费商务班车十号线早班;CBD免费商务班车十号线晚班;CBD免费商务班车商圈线;CBD免费商务班车天阶直达车;北京夜景观光北线,110105,北京市,北京市,朝阳区,[]
BV09344577,金台夕照站(公交站),"116.460325,39.916551",交通设施服务;公交车站;公交车站相关,150700,CBD免费商务班车十号线早班;CBD免费商务班车十号线晚班;CBD免费商务班车天阶直达车,110105,北京市,北京市,朝阳区,呼家楼
BV10012150,日坛公园(公交站),"116.442335,39.913340",交通设施服务;公交车站;公交车站相关,150700,140路;639路,110105,北京市,北京市,朝阳区,建外大街
BV09141958,乐成中心(公交站),"116.462408,39.893331",交通设施服务;公交车站;公交车站相关,150700,CBD免费商务班车商圈线,110105,北京市,北京市,朝阳区,双井
BV10006587,芳草地(公交站),"116.450400,39.918452",交通设施服务;公交车站;公交车站相关,150700,120路;126路;28路;39路;403路;夜24路,110105,北京市,北京市,朝阳区,[]
BV09024299,广渠门(公交站),"116.444214,39.893688",交通设施服务;公交车站;公交车站相关,150700,122路;139路;200路内环;200路外环;29路;52路;637路;638路;63路;专87路;夜19路;夜20路内;夜20路外;夜29路,110101,北京市,北京市,东城区,广渠门
BV10006236,呼家楼南(公交站),"116.461374,39.917995",交通设施服务;公交车站;公交车站相关,150700,113路;140路;368路内环;405路;488路;650路;687路;98路;9路;夜30路内;夜34路,110105,北京市,北京市,朝阳区,呼家楼
BV10012001,双井桥(公交站),"116.461113,39.892014",交通设施服务;公交车站;公交车站相关,150700,28路;夜30路内,110105,北京市,北京市,朝阳区,劲松
BV10006297,双井桥东(公交站),"116.465208,39.893281",交通设施服务;公交车站;公交车站相关,150700,(停运)312-23路联运;(停运)高铁专线3号线;23路;312路;312路区间;312路快车;348路;54路;669路;专10路;专165路;专87路;夜29路;夜7路;定制公交1线;快速直达专线192路;快速直达专线85路;通医专线4路,110105,北京市,北京市,朝阳区,双井
BV11496110,针织路口西(公交站),"116.468967,39.913594",交通设施服务;公交车站;公交车站相关,150700,639路;夜34路,110105,北京市,北京市,朝阳区,建外大街
BV09141955,尚都SOHO(公交站),"116.453595,39.918724",交通设施服务;公交车站;公交车站相关,150700,CBD免费商务班车一号线早班;CBD免费商务班车一号线晚班;CBD免费商务班车十号线早班;CBD免费商务班车十号线晚班;CBD免费商务班车商圈线,110105,北京市,北京市,朝阳区,呼家楼
BV10006308,苹果社区(公交站),"116.469833,39.897137",交通设施服务;公交车站;公交车站相关,150700,561路;专165路,110105,北京市,北京市,朝阳区,大望路
BV09141956,朝外SOHO(公交站),"116.454295,39.919304",交通设施服务;公交车站;公交车站相关,150700,CBD免费商务班车十号线早班;CBD免费商务班车天阶直达车,110105,北京市,北京市,朝阳区,呼家楼
BV09080468,万通中心(公交站),"116.456645,39.919281",交通设施服务;公交车站;公交车站相关,150700,CBD免费商务班车一号线早班;CBD免费商务班车一号线晚班;CBD免费商务班车十号线早班;CBD免费商务班车十号线晚班;CBD免费商务班车商圈线;CBD免费商务班车天阶直达车,110105,北京市,北京市,朝阳区,呼家楼
BV10781526,首都儿科研究所(公交站),"116.441089,39.915243",交通设施服务;公交车站;公交车站相关,150700,儿研所专线;儿研所专线区间,110105,北京市,北京市,朝阳区,建国门
BV09443470,金桐西路(公交站),"116.453704,39.919850",交通设施服务;公交车站;公交车站相关,150700,818路(金桐西路),110105,北京市,北京市,朝阳区,呼家楼
BV10001225,呼家楼东(公交站),"116.463342,39.918789",交通设施服务;公交车站;公交车站相关,150700,350路;488路;671路;9路;夜13路,110105,北京市,北京市,朝阳区,呼家楼
BV10004300,呼家楼西(公交站),"116.460417,39.919724",交通设施服务;公交车站;公交车站相关,150700,101路;118路;615路;98路;专114路;夜13路,110105,北京市,北京市,朝阳区,呼家楼
BV11386200,呼家楼东(快速公交站),"116.465866,39.917720",交通设施服务;公交车站;快速公交站,150704,快速公交2线;快速公交2线区间,110105,北京市,北京市,朝阳区,呼家楼
BV11386185,呼家楼西(快速公交站),"116.460542,39.919691",交通设施服务;公交车站;快速公交站,150704,快速公交2线;快速公交2线区间,110105,北京市,北京市,朝阳区,呼家楼
BV10006298,九龙花园(公交站),"116.469040,39.893430",交通设施服务;公交车站;公交车站相关,150700,(停运)312-23路联运;23路;312路;312路区间;312路快车;348路;54路;669路;专10路;专165路;专87路;夜29路;夜7路,110105,北京市,北京市,朝阳区,双井
BV10004299,小庄路口西(快速公交站),"116.469040,39.916698",交通设施服务;公交车站;快速公交站,150704,快速公交2线;快速公交2线区间,110105,北京市,北京市,朝阳区,呼家楼
BV11386153,小庄路口东(快速公交站),"116.469974,39.916450",交通设施服务;公交车站;快速公交站,150704,快速公交2线;快速公交2线区间,110105,北京市,北京市,朝阳区,红庙
BV10006390,小庄路口北(公交站),"116.469503,39.917993",交通设施服务;公交车站;公交车站相关,150700,115路;640路;95路;9路,110105,北京市,北京市,朝阳区,呼家楼
BV10006300,百环家园小区(公交站),"116.467226,39.890290",交通设施服务;公交车站;公交车站相关,150700,91路;专10路,110105,北京市,北京市,朝阳区,劲松
BV11496572,八棵杨北街(公交站),"116.469462,39.891545",交通设施服务;公交车站;公交车站相关,150700,91路;专10路,110105,北京市,北京市,朝阳区,劲松
BV10403014,夕照寺街北口(公交站),"116.440080,39.891288",交通设施服务;公交车站;公交车站相关,150700,12路环行;快速直达专线6路,110101,北京市,北京市,东城区,广渠门
